schedule_date,team_home,team_away,net_score,total_points,spread_favorite,over_under_line
1/3/2021,Buffalo Bills,Miami Dolphins,30.0,82.0,-3.0,42.5
1/3/2021,Carolina Panthers,New Orleans Saints,-26.0,40.0,-6.0,46.5
1/3/2021,Chicago Bears,Green Bay Packers,-19.0,51.0,-4.5,48.5
1/3/2021,Cincinnati Bengals,Baltimore Ravens,-35.0,41.0,-13.5,45
1/3/2021,Cleveland Browns,Pittsburgh Steelers,2.0,46.0,-10.5,44.5
1/3/2021,Denver Broncos,Las Vegas Raiders,-1.0,63.0,-2.5,50.5
1/3/2021,Detroit Lions,Minnesota Vikings,-2.0,72.0,-3.0,53.5
1/3/2021,Houston Texans,Tennessee Titans,-3.0,79.0,-7.0,55.5
1/3/2021,Indianapolis Colts,Jacksonville Jaguars,14.0,42.0,-15.5,48
1/3/2021,Kansas City Chiefs,Los Angeles Chargers,-17.0,59.0,-6.5,43
1/3/2021,Los Angeles Rams,Arizona Cardinals,11.0,25.0,-1.0,42
1/3/2021,New England Patriots,New York Jets,14.0,42.0,-3.0,41
1/3/2021,New York Giants,Dallas Cowboys,4.0,42.0,-1.5,43.5
1/3/2021,Philadelphia Eagles,Washington Football Team,-6.0,34.0,-6.5,43.5
1/3/2021,San Francisco 49ers,Seattle Seahawks,-3.0,49.0,-7.0,45
1/3/2021,Tampa Bay Buccaneers,Atlanta Falcons,17.0,71.0,-7.0,51
